PTS,T,R,RM,LB,TB,OFF,TO20,CR%,GLS,GA,GK%,FG,FGA,FG%,K,KM,LK,WK,AK,FDO,KR,KRM,DHR,1PH,LE,GPP,IGE,ERR,PA,PC,SB,SO,PTSC,TC,RMC,LBC,TCK,MT,OFFC,TA
806,141,4355,38611,170,1147,306,656,80,121,154,78,0,1,0,548,14671,273,10,262,29,255,2630,261,1840,917,2746,3,267,152,188,10,2,557,95,36327,117,8280,896,226,132
783,135,4473,39453,181,973,268,779,80,121,155,78,1,4,25,568,14423,255,38,271,34,248,2386,229,2032,749,2504,7,264,150,138,7,0,491,85,35463,109,7743,780,283,112
703,120,4340,39298,153,845,187,793,78,109,130,83,4,14,28,518,13739,261,14,237,30,270,2742,214,1913,1042,2734,5,276,129,130,7,0,610,102,36790,114,7896,881,236,106
695,121,4612,39553,135,1022,241,798,79,104,128,81,3,5,60,540,15714,286,37,213,18,314,2911,157,2035,729,2611,3,273,134,162,6,0,512,87,38296,117,8712,914,256,110
674,118,4215,37480,137,809,171,664,78,100,129,77,2,8,25,528,15690,281,46,195,27,270,2362,126,1809,922,2851,3,267,141,135,6,0,583,105,38122,132,7594,954,250,105
650,112,4850,43046,146,1047,271,944,81,100,129,77,1,4,25,602,15267,272,23,303,50,339,4088,136,2161,1066,3179,3,265,155,157,4,0,416,73,35574,102,8593,841,224,99
577,99,3940,33913,117,741,220,636,79,89,112,79,2,6,33,491,13929,261,27,196,24,252,2297,164,1965,803,2307,4,222,109,136,7,0,578,101,35627,131,7716,835,241,88
561,101,3988,33849,121,741,320,775,77,78,117,66,1,4,25,420,11650,196,30,192,33,217,2038,110,1799,811,2666,2,255,143,124,8,0,716,127,33972,163,7018,930,228,88
551,97,4178,36205,122,712,206,735,78,80,110,72,3,11,27,552,16573,296,26,225,47,280,2506,119,1960,916,2734,3,260,139,141,7,0,457,76,33327,98,8097,937,231,88
537,92,3631,32440,113,780,155,535,77,84,98,85,1,2,50,487,14015,252,32,200,27,231,2276,143,1866,646,1846,1,275,104,117,4,0,607,109,36605,126,7620,776,245,72
512,90,4164,35757,110,844,176,843,82,76,102,74,0,9,0,517,13594,262,37,215,30,274,2933,135,2063,989,2304,2,218,137,122,5,0,574,100,32964,130,7487,763,149,80
508,89,3960,33094,111,841,257,671,78,74,96,77,2,3,66,482,13419,266,21,190,25,217,1572,181,1912,820,2399,2,261,147,117,3,0,634,114,36207,121,7576,761,185,81
494,91,3909,32380,109,799,217,743,80,65,97,67,0,1,0,467,12412,242,35,187,30,204,1468,188,2002,840,2206,4,250,139,140,12,0,682,119,36074,135,7209,899,223,78
488,89,3881,34492,113,828,206,620,82,65,93,69,2,5,40,509,13875,273,6,227,27,209,1963,186,1857,689,2260,0,217,127,116,3,0,656,116,36358,137,7458,832,231,76
486,83,4197,37138,106,960,185,622,80,77,94,81,0,4,0,539,15223,300,32,206,26,280,2844,155,1989,820,2405,2,237,140,127,8,0,538,96,38394,120,8518,875,218,78
474,82,3927,34350,94,794,208,672,80,71,92,77,4,7,57,494,14239,282,17,194,22,224,2154,227,1919,526,1992,1,242,133,120,8,0,601,108,36086,125,7704,849,191,71
463,82,3756,31684,105,759,242,680,79,67,86,77,1,2,50,454,12169,236,17,193,23,212,1645,148,1587,997,2664,2,243,133,142,16,1,750,129,36557,166,7465,918,219,71
